"year","value","state","stcname","stcgroup","units","base"
1975,738.69681701898,"NY","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,0.0860211208059728,"RI","Amusement","License Taxes","Million Dollars","Real"
1975,77.825219573626,"DE","Vehicles","License Taxes","Million Dollars","Real"
1975,362.005550058469,"TX","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,21.0512798416839,"ME","Hunt & Fish","License Taxes","Million Dollars","Real"
1975,0,"ID","Other","License Taxes","Million Dollars","Real"
1975,42.0643280741207,"VT","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,5.39543585499685,"WY","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,906.084360205091,"FL","Vehicles","License Taxes","Million Dollars","Real"
1975,92.9123683727624,"VA","Property Tax","Property Taxes","Million Dollars","Real"
1975,7.07762666186921,"NM","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,74.6806697130521,"AZ","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,2.53284411262031,"CO","Other","License Taxes","Million Dollars","Real"
1975,3.45518168570658,"NY","Amusement","License Taxes","Million Dollars","Real"
1975,101.834670180804,"PA","Hunt & Fish","License Taxes","Million Dollars","Real"
1975,1.84467514617253,"DE","Alcohol","License Taxes","Million Dollars","Real"
1975,5.58659390123235,"NH","Corporations","License Taxes","Million Dollars","Real"
1975,269.556739947828,"MO","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
1975,139.985037258253,"MS","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,8.49697515516776,"NE","Corporations","License Taxes","Million Dollars","Real"
1975,14.9867908248628,"CA","Severance Taxes","Other Taxes","Million Dollars","Real"
1975,1.8542330484843,"SD","Other","License Taxes","Million Dollars","Real"
1975,1002.65740516326,"TX","Vehicles","License Taxes","Million Dollars","Real"
1975,5.07046717639651,"CT","Hunt & Fish","License Taxes","Million Dollars","Real"
1975,10.437229324458,"VT","Hunt & Fish","License Taxes","Million Dollars","Real"
1975,376.528782621211,"MN","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,2.29867550598183,"ID","Severance Taxes","Other Taxes","Million Dollars","Real"
1975,685.320711558874,"NJ","Vehicles","License Taxes","Million Dollars","Real"
1975,4443.11036340739,"OH","General Sales Tax","General Sales Taxes","Million Dollars","Real"
1975,7.37392163353423,"RI","Occupation and Business","License Taxes","Million Dollars","Real"
1975,827.241224035261,"TN","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,374.841812863183,"NE","Individual Income Taxes","Income Taxes","Million Dollars","Real"
1975,1.5531591256634,"ID","Property Tax","Property Taxes","Million Dollars","Real"
1975,7.62242709364037,"TN","Severance Taxes","Other Taxes","Million Dollars","Real"
1975,535.232971557075,"NC","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,5.01311976252586,"GA","Taxes, not elsewhere classified","Other Taxes","Million Dollars","Real"
1975,0.78374798956553,"AR","Other","License Taxes","Million Dollars","Real"
1975,0,"MI","Taxes, not elsewhere classified","Other Taxes","Million Dollars","Real"
1975,1613.90437380588,"SC","General Sales Tax","General Sales Taxes","Million Dollars","Real"
1975,611.246968642619,"SC","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,698.496279895655,"NY","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
1975,139.650510677341,"NC","Property Tax","Property Taxes","Million Dollars","Real"
1975,3.13499195826212,"TN","Public Utilities","License Taxes","Million Dollars","Real"
1975,0,"NE","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,1260.36234624449,"KS","General Sales Tax","General Sales Taxes","Million Dollars","Real"
1975,0,"OR","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,1466.31602525861,"IL","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
1975,1715.16079089682,"IA","Individual Income Taxes","Income Taxes","Million Dollars","Real"
1975,113.442742538455,"FL","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
1975,2.26522284789062,"AL","Public Utilities","License Taxes","Million Dollars","Real"
1975,395.13323947108,"SC","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
1975,24.5781457947288,"AR","Hunt & Fish","License Taxes","Million Dollars","Real"
1975,49.6771972654493,"MO","Hunt & Fish","License Taxes","Million Dollars","Real"
1975,293.102632292885,"MI","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,17.3332558424035,"OR","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,0.649937357200684,"NE","Alcohol","License Taxes","Million Dollars","Real"
1975,0,"IN","Veh. Operators","License Taxes","Million Dollars","Real"
1975,47.8134063146532,"KY","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,0,"ID","Taxes, not elsewhere classified","Other Taxes","Million Dollars","Real"
1975,47.2447111271026,"HI","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,0,"MS","Other","License Taxes","Million Dollars","Real"
1975,34.7143011963659,"AR","Severance Taxes","Other Taxes","Million Dollars","Real"
1975,86.0928050733111,"AK","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,187.865348889089,"WI","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,0.540021480615274,"GA","Other","License Taxes","Million Dollars","Real"
1975,13.4240737968877,"WA","Alcohol","License Taxes","Million Dollars","Real"
1975,141.968301987946,"DE","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,1888.74185478097,"TX","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,45.9304995592336,"MN","Hunt & Fish","License Taxes","Million Dollars","Real"
1975,54.9483803903931,"FL","Alcohol","License Taxes","Million Dollars","Real"
1975,0,"AK","Other","License Taxes","Million Dollars","Real"
1975,75.1729016821085,"MN","Occupation and Business","License Taxes","Million Dollars","Real"
1975,0,"AZ","Amusement","License Taxes","Million Dollars","Real"
1975,0.0430105604029864,"PA","Amusement","License Taxes","Million Dollars","Real"
1975,24.9413460825762,"LA","Veh. Operators","License Taxes","Million Dollars","Real"
1975,109.805960708824,"ME","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,201.695633534227,"MN","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
1975,8.46352249707655,"TX","Other","License Taxes","Million Dollars","Real"
1975,88.434491139696,"DE","Occupation and Business","License Taxes","Million Dollars","Real"
1975,2.09318060627867,"CT","Other","License Taxes","Million Dollars","Real"
1975,0,"MS","Amusement","License Taxes","Million Dollars","Real"
1975,2176.33435639111,"PA","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,20.2388581451831,"FL","Other","License Taxes","Million Dollars","Real"
1975,0.396652945938653,"UT","Alcohol","License Taxes","Million Dollars","Real"
1975,150.192876927229,"AL","Vehicles","License Taxes","Million Dollars","Real"
1975,0.138589583520734,"WY","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,0.0860211208059728,"MN","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,390.975551965458,"NC","Vehicles","License Taxes","Million Dollars","Real"
1975,4.06688743366016,"MO","Other","License Taxes","Million Dollars","Real"
1975,101.481027795269,"MS","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,174.111527462445,"AR","Vehicles","License Taxes","Million Dollars","Real"
1975,1898.49569409013,"MI","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,603.7631311325,"PA","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
1975,352.911206008815,"MA","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,31.5315197265449,"AK","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,7.94739577224071,"CO","Alcohol","License Taxes","Million Dollars","Real"
1975,4.94621444634344,"VT","Occupation and Business","License Taxes","Million Dollars","Real"
1975,241.857939048304,"ME","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,0,"CT","Public Utilities","License Taxes","Million Dollars","Real"
1975,1.44802220023388,"WY","Veh. Operators","License Taxes","Million Dollars","Real"
1975,164.601414662229,"MN","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,451.41016828281,"ND","General Sales Tax","General Sales Taxes","Million Dollars","Real"
1975,3.36438161374471,"NV","Corporations","License Taxes","Million Dollars","Real"
1975,51.7560410182603,"MT","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,0,"MT","Amusement","License Taxes","Million Dollars","Real"
1975,9.44320748403346,"ME","Veh. Operators","License Taxes","Million Dollars","Real"
1975,845.62584913196,"FL","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,73.285215975533,"CA","Alcohol","License Taxes","Million Dollars","Real"
1975,1744.18336126653,"LA","General Sales Tax","General Sales Taxes","Million Dollars","Real"
1975,229.724182063506,"MA","Vehicles","License Taxes","Million Dollars","Real"
1975,1776.90483983089,"KY","General Sales Tax","General Sales Taxes","Million Dollars","Real"
1975,15.2926436988396,"SD","Hunt & Fish","License Taxes","Million Dollars","Real"
1975,0.129031681208959,"PA","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
1975,10.3846608617433,"OR","Public Utilities","License Taxes","Million Dollars","Real"
1975,1372.60557204282,"HI","General Sales Tax","General Sales Taxes","Million Dollars","Real"
1975,18.5996778987137,"OH","Severance Taxes","Other Taxes","Million Dollars","Real"
1975,53.2900843393002,"MI","Veh. Operators","License Taxes","Million Dollars","Real"
1975,12.7072311235045,"WV","Alcohol","License Taxes","Million Dollars","Real"
1975,1.91635941351084,"HI","Corporations","License Taxes","Million Dollars","Real"
1975,557.349957506522,"KY","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
1975,83.8466980300441,"DE","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
1975,0,"SD","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
1975,1.37155898173968,"DE","Hunt & Fish","License Taxes","Million Dollars","Real"
1975,47.4645428802735,"LA","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,295.296170873437,"WA","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,118.183462085095,"OH","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
1975,255.635655230728,"FL","Property Tax","Property Taxes","Million Dollars","Real"
1975,23.1826920572097,"MD","Veh. Operators","License Taxes","Million Dollars","Real"
1975,31.5840881892597,"AZ","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,72.1669414050553,"IL","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
1975,29.9640237474139,"VA","Hunt & Fish","License Taxes","Million Dollars","Real"
1975,88.1047435099397,"TN","Individual Income Taxes","Income Taxes","Million Dollars","Real"
1975,132.491641845822,"NC","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
1975,249.42779767923,"FL","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,140.634974615454,"OK","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,53.7679794548889,"NV","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,108.185896266979,"IL","Occupation and Business","License Taxes","Million Dollars","Real"
1975,1460.67208394351,"NY","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
1975,4623.16212715661,"NY","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
1975,433.407859278582,"OR","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
1975,5.51013068273815,"MI","Public Utilities","License Taxes","Million Dollars","Real"
1975,366.473869389224,"TN","Vehicles","License Taxes","Million Dollars","Real"
1975,303.998640928308,"IA","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
1975,279.038179041108,"WA","Vehicles","License Taxes","Million Dollars","Real"
1975,134.5848224521,"ID","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
1975,96.4440132769632,"ME","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
